Date,Time,Month,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
7/1/2004,0:00:00,7,2.3,1109,-200,12.9,1080,111,696,102,1874,1190,27.1,47.4,1.6701
7/1/2004,1:00:00,7,1.5,1032,-200,9.9,974,66,763,77,1800,982,26.2,49.4,1.6555
7/1/2004,2:00:00,7,0.9,893,-200,5.1,767,36,918,50,1607,805,26.9,49.3,1.7196
7/1/2004,3:00:00,7,0.6,848,-200,2.8,642,-200,1079,-200,1536,654,26.3,50.8,1.7058
7/1/2004,4:00:00,7,0.6,850,-200,3.2,664,31,1038,40,1568,727,24.9,54.6,1.6908
7/1/2004,5:00:00,7,0.8,938,-200,5.4,782,75,879,66,1685,1001,23.4,58.6,1.6651
7/1/2004,6:00:00,7,0.9,948,-200,6.4,828,66,858,60,1711,994,24.4,55.2,1.6604
7/1/2004,7:00:00,7,2.4,1225,-200,17.1,1214,154,625,85,2090,1322,25.1,54.3,1.7057
7/1/2004,8:00:00,7,3.9,1380,-200,22.3,1359,239,538,120,2337,1617,26.6,51.2,1.7565
7/1/2004,9:00:00,7,2.9,1276,-200,14.6,1138,246,628,134,2021,1430,28.2,47.1,1.7752
7/1/2004,10:00:00,7,2.7,1246,-200,13.3,1093,261,667,149,1942,1357,31.6,39.4,1.7969
7/1/2004,11:00:00,7,2.0,1141,-200,10.5,996,179,767,125,1805,994,34.2,31.8,1.6837
7/1/2004,12:00:00,7,2.4,1199,-200,14.2,1124,159,680,132,1940,1054,36.6,27.1,1.6352
7/1/2004,13:00:00,7,2.0,1156,-200,12.2,1056,111,710,114,1842,945,37.6,26.9,1.715
7/1/2004,14:00:00,7,1.8,1158,-200,10.1,983,101,751,110,1803,808,38.1,26.3,1.7213
7/1/2004,15:00:00,7,1.9,1163,-200,11.7,1039,118,723,121,1814,888,37.8,26.9,1.7392
7/1/2004,16:00:00,7,1.8,1078,-200,10.9,1009,120,767,127,1730,787,37.8,22.7,1.4653
