CO(GT),Date,Time,interval,intervalReverse
1.0,7/1/2004,0:00:00,0.0,60.0
1.0,7/1/2004,1:00:00,60.0,60.0
1.0,7/1/2004,2:00:00,60.0,60.0
1.0,7/1/2004,3:00:00,60.0,60.0
1.0,7/1/2004,4:00:00,60.0,60.0
1.0,7/1/2004,5:00:00,60.0,60.0
1.0,7/1/2004,6:00:00,60.0,60.0
1.0,7/1/2004,7:00:00,60.0,60.0
1.0,7/1/2004,8:00:00,60.0,60.0
1.0,7/1/2004,9:00:00,60.0,60.0
1.0,7/1/2004,10:00:00,60.0,60.0
1.0,7/1/2004,11:00:00,60.0,60.0
1.0,7/1/2004,12:00:00,60.0,60.0
1.0,7/1/2004,13:00:00,60.0,60.0
1.0,7/1/2004,14:00:00,60.0,60.0
1.0,7/1/2004,15:00:00,60.0,60.0
1.0,7/1/2004,16:00:00,60.0,60.0
1.0,7/1/2004,17:00:00,60.0,60.0
1.0,7/1/2004,18:00:00,60.0,60.0
1.0,7/1/2004,19:00:00,60.0,0.0
1.0,7/1/2004,20:00:00,0.0,60.0
1.0,7/1/2004,21:00:00,60.0,60.0
1.0,7/1/2004,22:00:00,60.0,60.0
1.0,7/1/2004,23:00:00,60.0,60.0
1.0,7/2/2004,0:00:00,60.0,60.0
1.0,7/2/2004,1:00:00,60.0,60.0
1.0,7/2/2004,2:00:00,60.0,60.0
1.0,7/2/2004,3:00:00,60.0,59.0
0.0,7/2/2004,4:00:00,60.0,60.0
1.0,7/2/2004,5:00:00,120.0,60.0
1.0,7/2/2004,6:00:00,60.0,60.0
1.0,7/2/2004,7:00:00,60.0,60.0
1.0,7/2/2004,8:00:00,60.0,60.0
1.0,7/2/2004,9:00:00,60.0,60.0
1.0,7/2/2004,10:00:00,60.0,60.0
1.0,7/2/2004,11:00:00,60.0,60.0
1.0,7/2/2004,12:00:00,60.0,60.0
1.0,7/2/2004,13:00:00,60.0,60.0
1.0,7/2/2004,14:00:00,60.0,60.0
1.0,7/2/2004,15:00:00,60.0,0.0
1.0,7/2/2004,16:00:00,0.0,60.0
1.0,7/2/2004,17:00:00,60.0,60.0
1.0,7/2/2004,18:00:00,60.0,60.0
1.0,7/2/2004,19:00:00,60.0,60.0
1.0,7/2/2004,20:00:00,60.0,60.0
1.0,7/2/2004,21:00:00,60.0,60.0
1.0,7/2/2004,22:00:00,60.0,60.0
1.0,7/2/2004,23:00:00,60.0,60.0
1.0,7/3/2004,0:00:00,60.0,60.0
1.0,7/3/2004,1:00:00,60.0,60.0
1.0,7/3/2004,2:00:00,60.0,60.0
1.0,7/3/2004,3:00:00,60.0,60.0
1.0,7/3/2004,4:00:00,60.0,60.0
1.0,7/3/2004,5:00:00,60.0,60.0
1.0,7/3/2004,6:00:00,60.0,60.0
1.0,7/3/2004,7:00:00,60.0,60.0
1.0,7/3/2004,8:00:00,60.0,60.0
1.0,7/3/2004,9:00:00,60.0,60.0
1.0,7/3/2004,10:00:00,60.0,60.0
1.0,7/3/2004,11:00:00,60.0,0.0
1.0,7/3/2004,12:00:00,0.0,60.0
1.0,7/3/2004,13:00:00,60.0,60.0
1.0,7/3/2004,14:00:00,60.0,60.0
1.0,7/3/2004,15:00:00,60.0,60.0
1.0,7/3/2004,16:00:00,60.0,60.0
1.0,7/3/2004,17:00:00,60.0,60.0
1.0,7/3/2004,18:00:00,60.0,60.0
1.0,7/3/2004,19:00:00,60.0,60.0
1.0,7/3/2004,20:00:00,60.0,60.0
1.0,7/3/2004,21:00:00,60.0,60.0
1.0,7/3/2004,22:00:00,60.0,60.0
1.0,7/3/2004,23:00:00,60.0,60.0
1.0,7/4/2004,0:00:00,60.0,60.0
1.0,7/4/2004,1:00:00,60.0,60.0
1.0,7/4/2004,2:00:00,60.0,60.0
1.0,7/4/2004,3:00:00,60.0,60.0
1.0,7/4/2004,4:00:00,60.0,60.0
1.0,7/4/2004,5:00:00,60.0,60.0
1.0,7/4/2004,6:00:00,60.0,60.0
1.0,7/4/2004,7:00:00,60.0,0.0
1.0,7/4/2004,8:00:00,0.0,60.0
1.0,7/4/2004,9:00:00,60.0,60.0
1.0,7/4/2004,10:00:00,60.0,60.0
1.0,7/4/2004,11:00:00,60.0,60.0
1.0,7/4/2004,12:00:00,60.0,60.0
1.0,7/4/2004,13:00:00,60.0,60.0
1.0,7/4/2004,14:00:00,60.0,60.0
1.0,7/4/2004,15:00:00,60.0,60.0
1.0,7/4/2004,16:00:00,60.0,60.0
1.0,7/4/2004,17:00:00,60.0,60.0
1.0,7/4/2004,18:00:00,60.0,60.0
1.0,7/4/2004,19:00:00,60.0,60.0
1.0,7/4/2004,20:00:00,60.0,60.0
1.0,7/4/2004,21:00:00,60.0,60.0
1.0,7/4/2004,22:00:00,60.0,60.0
1.0,7/4/2004,23:00:00,60.0,60.0
1.0,7/5/2004,0:00:00,60.0,60.0
1.0,7/5/2004,1:00:00,60.0,60.0
1.0,7/5/2004,2:00:00,60.0,60.0
1.0,7/5/2004,3:00:00,60.0,0.0
0.0,7/5/2004,4:00:00,0.0,60.0
1.0,7/5/2004,5:00:00,60.0,60.0
1.0,7/5/2004,6:00:00,60.0,60.0
1.0,7/5/2004,7:00:00,60.0,60.0
1.0,7/5/2004,8:00:00,60.0,60.0
1.0,7/5/2004,9:00:00,60.0,60.0
1.0,7/5/2004,10:00:00,60.0,60.0
1.0,7/5/2004,11:00:00,60.0,60.0
1.0,7/5/2004,12:00:00,60.0,60.0
1.0,7/5/2004,13:00:00,60.0,60.0
1.0,7/5/2004,14:00:00,60.0,60.0
1.0,7/5/2004,15:00:00,60.0,60.0
1.0,7/5/2004,16:00:00,60.0,60.0
1.0,7/5/2004,17:00:00,60.0,60.0
1.0,7/5/2004,18:00:00,60.0,60.0
1.0,7/5/2004,19:00:00,60.0,59.0
1.0,7/5/2004,20:00:00,60.0,60.0
1.0,7/5/2004,21:00:00,60.0,60.0
1.0,7/5/2004,22:00:00,60.0,60.0
1.0,7/5/2004,23:00:00,60.0,0.0
1.0,7/6/2004,0:00:00,0.0,60.0
1.0,7/6/2004,1:00:00,60.0,60.0
1.0,7/6/2004,2:00:00,60.0,60.0
1.0,7/6/2004,3:00:00,60.0,60.0
1.0,7/6/2004,4:00:00,60.0,60.0
1.0,7/6/2004,5:00:00,60.0,60.0
1.0,7/6/2004,6:00:00,60.0,60.0
1.0,7/6/2004,7:00:00,60.0,60.0
1.0,7/6/2004,8:00:00,60.0,60.0
1.0,7/6/2004,9:00:00,60.0,60.0
1.0,7/6/2004,10:00:00,60.0,60.0
1.0,7/6/2004,11:00:00,60.0,60.0
1.0,7/6/2004,12:00:00,60.0,60.0
1.0,7/6/2004,13:00:00,60.0,60.0
1.0,7/6/2004,14:00:00,60.0,60.0
1.0,7/6/2004,15:00:00,60.0,60.0
1.0,7/6/2004,16:00:00,60.0,60.0
1.0,7/6/2004,17:00:00,60.0,60.0
1.0,7/6/2004,18:00:00,60.0,60.0
1.0,7/6/2004,19:00:00,60.0,0.0
1.0,7/6/2004,20:00:00,0.0,60.0
1.0,7/6/2004,21:00:00,60.0,60.0
1.0,7/6/2004,22:00:00,60.0,60.0
1.0,7/6/2004,23:00:00,60.0,60.0
1.0,7/7/2004,0:00:00,60.0,60.0
1.0,7/7/2004,1:00:00,60.0,60.0
1.0,7/7/2004,2:00:00,60.0,60.0
1.0,7/7/2004,3:00:00,60.0,60.0
1.0,7/7/2004,4:00:00,60.0,60.0
1.0,7/7/2004,5:00:00,60.0,60.0
1.0,7/7/2004,6:00:00,60.0,60.0
1.0,7/7/2004,7:00:00,60.0,60.0
1.0,7/7/2004,8:00:00,60.0,60.0
1.0,7/7/2004,9:00:00,60.0,60.0
1.0,7/7/2004,10:00:00,60.0,60.0
1.0,7/7/2004,11:00:00,60.0,60.0
1.0,7/7/2004,12:00:00,60.0,60.0
1.0,7/7/2004,13:00:00,60.0,60.0
1.0,7/7/2004,14:00:00,60.0,60.0
1.0,7/7/2004,15:00:00,60.0,0.0
1.0,7/7/2004,16:00:00,0.0,60.0
1.0,7/7/2004,17:00:00,60.0,60.0
1.0,7/7/2004,18:00:00,60.0,60.0
1.0,7/7/2004,19:00:00,60.0,59.0
1.0,7/7/2004,20:00:00,60.0,60.0
1.0,7/7/2004,21:00:00,60.0,60.0
1.0,7/7/2004,22:00:00,60.0,60.0
1.0,7/7/2004,23:00:00,60.0,60.0
1.0,7/8/2004,0:00:00,60.0,60.0
1.0,7/8/2004,1:00:00,60.0,60.0
1.0,7/8/2004,2:00:00,60.0,60.0
1.0,7/8/2004,3:00:00,60.0,60.0
0.0,7/8/2004,4:00:00,60.0,60.0
1.0,7/8/2004,5:00:00,120.0,60.0
1.0,7/8/2004,6:00:00,60.0,60.0
1.0,7/8/2004,7:00:00,60.0,60.0
1.0,7/8/2004,8:00:00,60.0,60.0
1.0,7/8/2004,9:00:00,60.0,60.0
1.0,7/8/2004,10:00:00,60.0,60.0
1.0,7/8/2004,11:00:00,60.0,0.0
1.0,7/8/2004,12:00:00,0.0,60.0
1.0,7/8/2004,13:00:00,60.0,60.0
1.0,7/8/2004,14:00:00,60.0,60.0
1.0,7/8/2004,15:00:00,60.0,60.0
1.0,7/8/2004,16:00:00,60.0,60.0
1.0,7/8/2004,17:00:00,60.0,60.0
1.0,7/8/2004,18:00:00,60.0,60.0
1.0,7/8/2004,19:00:00,60.0,60.0
1.0,7/8/2004,20:00:00,60.0,60.0
1.0,7/8/2004,21:00:00,60.0,60.0
1.0,7/8/2004,22:00:00,60.0,60.0
1.0,7/8/2004,23:00:00,60.0,60.0
1.0,7/9/2004,0:00:00,60.0,60.0
1.0,7/9/2004,1:00:00,60.0,60.0
1.0,7/9/2004,2:00:00,60.0,60.0
1.0,7/9/2004,3:00:00,60.0,60.0
1.0,7/9/2004,4:00:00,60.0,60.0
1.0,7/9/2004,5:00:00,60.0,60.0
1.0,7/9/2004,6:00:00,60.0,60.0
1.0,7/9/2004,7:00:00,60.0,0.0
1.0,7/9/2004,8:00:00,0.0,60.0
1.0,7/9/2004,9:00:00,60.0,60.0
1.0,7/9/2004,10:00:00,60.0,60.0
1.0,7/9/2004,11:00:00,60.0,60.0
1.0,7/9/2004,12:00:00,60.0,60.0
1.0,7/9/2004,13:00:00,60.0,60.0
1.0,7/9/2004,14:00:00,60.0,60.0
1.0,7/9/2004,15:00:00,60.0,60.0
1.0,7/9/2004,16:00:00,60.0,60.0
1.0,7/9/2004,17:00:00,60.0,60.0
1.0,7/9/2004,18:00:00,60.0,60.0
1.0,7/9/2004,19:00:00,60.0,60.0
1.0,7/9/2004,20:00:00,60.0,60.0
1.0,7/9/2004,21:00:00,60.0,60.0
1.0,7/9/2004,22:00:00,60.0,60.0
1.0,7/9/2004,23:00:00,60.0,60.0
1.0,7/10/2004,0:00:00,60.0,60.0
1.0,7/10/2004,1:00:00,60.0,60.0
1.0,7/10/2004,2:00:00,60.0,60.0
1.0,7/10/2004,3:00:00,60.0,0.0
1.0,7/10/2004,4:00:00,0.0,60.0
1.0,7/10/2004,5:00:00,60.0,60.0
1.0,7/10/2004,6:00:00,60.0,60.0
1.0,7/10/2004,7:00:00,60.0,60.0
1.0,7/10/2004,8:00:00,60.0,60.0
1.0,7/10/2004,9:00:00,60.0,60.0
1.0,7/10/2004,10:00:00,60.0,60.0
1.0,7/10/2004,11:00:00,60.0,60.0
1.0,7/10/2004,12:00:00,60.0,60.0
1.0,7/10/2004,13:00:00,60.0,60.0
1.0,7/10/2004,14:00:00,60.0,60.0
1.0,7/10/2004,15:00:00,60.0,60.0
1.0,7/10/2004,16:00:00,60.0,60.0
1.0,7/10/2004,17:00:00,60.0,60.0
1.0,7/10/2004,18:00:00,60.0,60.0
1.0,7/10/2004,19:00:00,60.0,60.0
1.0,7/10/2004,20:00:00,60.0,60.0
1.0,7/10/2004,21:00:00,60.0,60.0
1.0,7/10/2004,22:00:00,60.0,60.0
1.0,7/10/2004,23:00:00,60.0,0.0
1.0,7/11/2004,0:00:00,0.0,60.0
1.0,7/11/2004,1:00:00,60.0,60.0
1.0,7/11/2004,2:00:00,60.0,60.0
1.0,7/11/2004,3:00:00,60.0,60.0
1.0,7/11/2004,4:00:00,60.0,60.0
1.0,7/11/2004,5:00:00,60.0,60.0
1.0,7/11/2004,6:00:00,60.0,60.0
1.0,7/11/2004,7:00:00,60.0,60.0
1.0,7/11/2004,8:00:00,60.0,60.0
1.0,7/11/2004,9:00:00,60.0,60.0
1.0,7/11/2004,10:00:00,60.0,60.0
1.0,7/11/2004,11:00:00,60.0,59.0
1.0,7/11/2004,12:00:00,60.0,60.0
1.0,7/11/2004,13:00:00,60.0,60.0
1.0,7/11/2004,14:00:00,60.0,60.0
1.0,7/11/2004,15:00:00,60.0,60.0
1.0,7/11/2004,16:00:00,60.0,60.0
1.0,7/11/2004,17:00:00,60.0,60.0
1.0,7/11/2004,18:00:00,60.0,60.0
1.0,7/11/2004,19:00:00,60.0,0.0
1.0,7/11/2004,20:00:00,0.0,60.0
1.0,7/11/2004,21:00:00,60.0,60.0
1.0,7/11/2004,22:00:00,60.0,60.0
1.0,7/11/2004,23:00:00,60.0,60.0
1.0,7/12/2004,0:00:00,60.0,60.0
1.0,7/12/2004,1:00:00,60.0,60.0
1.0,7/12/2004,2:00:00,60.0,60.0
1.0,7/12/2004,3:00:00,60.0,60.0
0.0,7/12/2004,4:00:00,60.0,60.0
1.0,7/12/2004,5:00:00,120.0,60.0
1.0,7/12/2004,6:00:00,60.0,60.0
1.0,7/12/2004,7:00:00,60.0,60.0
1.0,7/12/2004,8:00:00,60.0,60.0
1.0,7/12/2004,9:00:00,60.0,60.0
1.0,7/12/2004,10:00:00,60.0,60.0
1.0,7/12/2004,11:00:00,60.0,60.0
1.0,7/12/2004,12:00:00,60.0,60.0
1.0,7/12/2004,13:00:00,60.0,60.0
1.0,7/12/2004,14:00:00,60.0,60.0
1.0,7/12/2004,15:00:00,60.0,0.0
1.0,7/12/2004,16:00:00,0.0,60.0
1.0,7/12/2004,17:00:00,60.0,60.0
