Date,Time,Month,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
5/1/2004,0:00:00,5,3.5,1425,275,15.2,1155,185,709,110,1936,1789,17.8,66.8,1.346
5/1/2004,1:00:00,5,2.4,1179,-200,9.3,951,129,826,84,1724,1323,17.3,68.3,1.3346
5/1/2004,2:00:00,5,1.6,1047,-200,6.5,833,85,939,71,1647,1081,16.5,70.2,1.3099
5/1/2004,3:00:00,5,1.3,1009,-200,6.3,825,-200,950,-200,1629,938,15.7,73.1,1.2902
5/1/2004,4:00:00,5,-200.0,882,-200,3.5,685,35,1134,42,1492,673,16.2,69.9,1.2756
5/1/2004,5:00:00,5,0.6,858,-200,2.6,624,24,1205,32,1434,543,16.7,67.1,1.2619
5/1/2004,6:00:00,5,0.7,875,-200,3.1,659,30,1180,35,1452,561,16.7,66.9,1.2631
5/1/2004,7:00:00,5,1.2,1012,-200,6.5,833,75,916,67,1632,862,16.9,66.5,1.2688
5/1/2004,8:00:00,5,1.5,1049,-200,6.5,836,79,926,73,1615,901,17.7,62.0,1.2458
5/1/2004,9:00:00,5,1.8,1131,-200,8.8,932,104,854,86,1693,1048,19.4,54.6,1.2184
5/1/2004,10:00:00,5,2.1,1120,-200,8.8,931,118,886,89,1652,971,21.6,46.1,1.1725
5/1/2004,11:00:00,5,1.9,1117,-200,9.2,946,105,909,86,1657,915,24.6,36.7,1.1202
5/1/2004,12:00:00,5,2.0,1110,-200,9.2,948,101,901,86,1632,891,26.0,31.9,1.0566
5/1/2004,13:00:00,5,1.3,962,-200,6.1,816,65,1044,66,1489,628,25.6,31.5,1.0184
5/1/2004,14:00:00,5,1.3,963,-200,6.5,835,59,1029,68,1495,556,24.8,34.8,1.0716
5/1/2004,15:00:00,5,1.8,1050,-200,9.2,948,80,928,82,1584,652,26.1,30.3,1.0101
5/1/2004,16:00:00,5,2.0,1053,-200,8.3,911,98,949,91,1603,683,25.5,33.5,1.0767
5/1/2004,17:00:00,5,1.8,1045,-200,8.3,910,89,948,95,1598,624,23.7,37.2,1.0746
5/1/2004,18:00:00,5,2.4,1124,-200,11.0,1013,114,849,104,1676,733,22.3,38.9,1.0324
5/1/2004,19:00:00,5,4.0,1330,-200,14.7,1140,195,759,131,1780,1062,20.7,42.8,1.0298
5/1/2004,20:00:00,5,2.8,1171,-200,10.8,1006,156,835,112,1674,988,19.0,51.7,1.1222
5/1/2004,21:00:00,5,2.0,1085,-200,9.4,954,109,866,100,1656,871,17.8,55.5,1.1174
